L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
263.9,493,800.4,1148.4,1464.5,152.25
340.615,501.07,793.83,1024.66,1210.45,161.8625
323.19,504.63,739.935,1065.96,1431.675,124.74
266.11,675.74,959.79,1303.64,1390.35,146.51
385.12,584.32,1075.68,1248.32,1909,141.1
387.28,849.76,1263.36,1504,1635.6,201.16
439.6,706.5,1236.375,1413,2296.125,188.4
373.05,961.64,1454.895,1624.84,1865.25,211.395
384.42,1072.8,1180.08,1591.32,2592.6,261.495
523.25,982.8,1255.8,2056.6,2366,270.725
560.49,866.64,1370.61,1714.44,2213.7,277.89
462.175,1109.22,1722.21,2140.6,2189.25,209.195
534.66,872.34,1702.47,2007.32,2579.5,260.295
553.575,869.25,1537.2,1848.3,2584.875,217.3125
492.135,921.06,1408.68,1860.18,2483.25,196.4025
411.24,1072.8,1206.9,1591.32,2704.35,245.85
436.59,749.7,1190.7,1958.04,2381.4,233.73
408.15,970.49,1401.315,1668.88,2403.55,249.425
543.95,1097.79,1438.995,2254.92,2843.375,286.81
569.56,903.44,1340.43,2022.92,2455,284.78
500.54,828.48,1139.16,2088.46,2028.05,185.545
421.85,790.01,1346.085,1610.7,2281.825,222.43
328.225,628.81,1254.165,1644.58,1623.85,153.7475
333.9,567,992.25,1083.6,1338.75,181.125
258.1,696,957,1241.2,1290.5,165.3
326.54,675.6,819.165,1294.9,1604.55,128.0825
311.85,584.01,833.49,1224.72,1289.925,168.6825
296.01,669.76,977.73,1387.36,1285.7,153.985
325.36,737.04,1115.52,1235.04,1743,169.32
406.08,789.6,1263.36,1639.36,1654.4,180.48
431.75,839.95,1318.8,1617.1,2198,202.1375
497.4,762.68,1355.415,1558.52,2010.325,176.1625
491.7,1028.1,1153.26,2038.32,2346.75,234.675
423.15,937.3,1242.15,2002,2411.5,250.25
489.84,932.58,1526.04,1676.76,2048.85,200.175
413.525,1157.87,1488.69,1770.86,2846.025,287.035
473.69,1059.94,1308.51,1688.4,2485.7,204.015
535.275,1070.55,1619.55,2049.6,2218.875,260.775
474.075,821.73,1530.585,1986.6,2189.775,198.66
536.4,777.78,1180.08,1716.48,1989.15,230.205
432.18,758.52,1375.92,1834.56,2227.05,196.245
530.595,916.07,1238.055,1886.56,2471.575,197.2725
558.785,1117.57,1795.035,2136.24,2917.55,237.36
584.29,1040.92,1487.73,2219.32,2675.95,255.32
487.595,845.74,1152.105,2002.16,2567.425,213.5925
410.345,782.34,1242.54,1349.92,2051.725,170.6575
411.145,697.91,1098.69,1561.66,2090.275,157.2025
305.55,567,1067.85,1247.4,1827,187.425
295.8,643.8,817.8,1102,1406.5,168.2
250.535,484.18,785.385,1249.86,1280.825,154.825
249.48,544.32,910.035,963.9,1615.95,170.1
346.84,639.86,959.79,1447.16,1539.85,155.48
325.36,637.44,1135.44,1500.64,1726.4,170.98
330.88,782.08,1331.04,1353.6,1616.8,225.6
451.375,824.25,1377.675,1727,2198,198.2125
410.355,853.87,1367.85,1658,2362.65,223.83
464.88,1081.74,1180.08,1948.92,2056.2,254.79
436.8,982.8,1569.75,1765.4,2479.75,268.45
569.91,1139.82,1540.17,1639.08,2190.15,223.725
564.34,1031.38,1503.285,1829.24,2432.5,272.44
534.66,1134.98,1407,1594.6,2837.45,276.71
430.05,786.9,1619.55,1921.5,2584.875,203.5875
483.105,957.18,1611.855,2040.78,2550.975,214.4625
455.94,965.52,1273.95,1609.2,2525.55,263.73
515.97,996.66,1481.76,1781.64,1918.35,189.63
530.595,888.86,1346.895,1922.84,1972.725,274.3675
524.17,1078.01,1305.48,2294.48,2126.35,252.195
461.54,1129.3,1693.95,1983.64,2430.45,267.595
444.445,897.52,1139.16,1898.6,2200.65,226.5375
452.53,767,1092.975,1702.74,1859.975,230.1
380.05,649.54,1129.785,1354.36,1554.75,202.1175
381.15,642.6,1048.95,1209.6,1386,177.975
255.2,638,739.5,1403.6,1421,127.6
309.65,534.85,743.16,1227.34,1323.05,119.6375
255.15,652.05,833.49,1304.1,1304.1,130.41
340.86,675.74,914.94,1231.88,1345.5,159.965
315.4,783.52,1035.84,1367.84,1975.4,164.34
372.24,699.36,1240.8,1428.8,1598,210.56
439.6,879.2,1248.15,1381.6,1687.75,217.8375
472.53,820.71,1218.63,1608.26,1968.875,207.25
509.58,1081.74,1180.08,1698.6,2480.85,205.62
386.75,1101.1,1474.2,1929.2,2070.25,257.075
452.16,923.16,1596.69,2185.44,2190.15,214.305
413.525,1070.3,1401.12,2257.36,2091.95,245.6825
492.45,853.58,1533.63,1988.56,2767.1,206.36
407.175,814.35,1633.275,1811.7,2333.25,256.2
532.77,884.94,1544.13,1643.46,2596.125,223.4925
496.17,1045.98,1193.49,2127.72,2302.05,261.495
379.26,970.2,1283.31,1605.24,2315.25,191.835
489.78,1033.98,1170.03,2122.38,2312.85,222.215
548.895,1097.79,1587.345,1780.2,2645.575,269.5025
510.64,834.7,1649.76,2199.68,2553.2,287.235
487.595,983.82,1320.39,1898.6,2373.25,237.325
360.49,690.3,1150.5,1319.24,1706.575,185.9975
307.495,829.2,1202.34,1409.64,1623.85,207.3
280.35,648.9,1011.15,1108.8,1370.25,184.275
275.5,591.6,878.7,1368.8,1377.5,130.5
332.17,675.6,776.94,1306.16,1674.925,150.6025
334.53,584.01,893.025,975.24,1516.725,141.75
263.12,580.06,977.73,1136.2,1584.7,140.53
385.12,730.4,966.12,1593.6,1826,164.34
349.68,767.04,1128,1368.64,2162,171.08
474.925,949.85,1071.525,1789.8,1864.375,184.475
497.4,812.42,1442.46,1624.84,1865.25,182.38
438.06,1072.8,1341,1662.84,2078.55,201.15
418.6,809.9,1310.4,2093,2730,227.5
466.29,1130.4,1681.47,2091.24,2472.75,263.76
549.745,982.73,1532.475,1770.86,2505.475,255.4125
398.65,1041.18,1392.93,2119.88,2626.4,279.055
452.925,924.15,1180.35,1665.3,2035.875,221.8875
469.56,1038.45,1638.945,1806,2709,252.84
433.59,947.64,1609.2,1591.32,2480.85,225.735
511.56,1067.22,1455.3,1675.8,2072.7,260.19
435.36,1070.26,1319.685,1741.44,1927.375,265.2975
499.445,969.22,1691.19,2116.46,2423.05,269.5025
515.55,1060.56,1428.81,2219.32,2553.2,243.045
466.02,914.78,1540.455,1484.36,1941.75,202.805
352.82,659.62,1058.46,1457.3,2262.65,197.5025
386.96,621.9,1202.34,1547.84,2090.275,157.2025
359.1,756,1086.75,1411.2,1543.5,185.85
324.8,701.8,1009.2,1357.2,1551.5,126.15
301.205,517.96,996.51,1283.64,1238.6,123.86
334.53,481.95,748.44,1270.08,1275.75,138.915
260.13,568.1,1058.46,1375.4,1285.7,142.025
335.32,564.4,896.4,1248.32,1709.8,192.56
428.64,639.2,1003.92,1564.16,2274.8,188
361.1,832.1,1000.875,1507.2,2256.875,227.65
393.775,721.23,1056.975,1923.28,2466.275,203.105
518.52,965.52,1180.08,2163.48,2503.2,192.21
